topic,wine_id
Topic 0,110294
Topic 0,29652
Topic 0,21425
Topic 0,37863
Topic 0,5141
Topic 0,48437
Topic 0,75912
Topic 0,7147
Topic 0,75343
Topic 0,32566
Topic 0,12088
Topic 0,39902
Topic 0,31781
Topic 0,12061
Topic 0,43744
Topic 0,136994
Topic 0,22909
Topic 0,38427
Topic 0,112019
Topic 0,26447
Topic 0,71127
Topic 0,3729
Topic 0,6870
Topic 0,67165
Topic 0,81284
Topic 1,43947
Topic 1,82035
Topic 1,66276
Topic 1,62611
Topic 1,57663
Topic 1,25070
Topic 1,7154
Topic 1,1638
Topic 1,33401
Topic 1,102462
Topic 1,35185
Topic 1,11470
Topic 1,14522
Topic 1,34566
Topic 1,7699
Topic 1,2710
Topic 1,148858
Topic 1,28469
Topic 1,46345
Topic 1,86007
Topic 1,6869
Topic 1,22580
Topic 1,47922
Topic 1,47610
Topic 1,31935
Topic 2,3427
Topic 2,512
Topic 2,60857
Topic 2,77105
Topic 2,20047
Topic 2,2247
Topic 2,80619
Topic 2,1026
Topic 2,59655
Topic 2,45454
Topic 2,202
Topic 2,24451
Topic 2,1241
Topic 2,8091
Topic 2,21143
Topic 2,39951
Topic 2,22716
Topic 2,43217
Topic 2,3236
Topic 2,62169
Topic 2,13164
Topic 2,118776
Topic 2,54644
Topic 2,10806
Topic 2,1636
Topic 3,144597
Topic 3,18539
Topic 3,65028
Topic 3,47102
Topic 3,95256
Topic 3,47027
Topic 3,80228
Topic 3,18464
Topic 3,54777
Topic 3,84763
Topic 3,144862
Topic 3,98151
Topic 3,46814
Topic 3,26102
Topic 3,63559
Topic 3,117683
Topic 3,63384
Topic 3,102262
Topic 3,148020
Topic 3,42362
Topic 3,26513
Topic 3,56601
Topic 3,53882
Topic 3,63463
Topic 3,47112
Topic 4,10640
Topic 4,33682
Topic 4,26447
Topic 4,97495
Topic 4,9987
Topic 4,25409
Topic 4,83248
Topic 4,108255
Topic 4,27937
Topic 4,27445
Topic 4,6862
Topic 4,109678
Topic 4,81194
Topic 4,9976
Topic 4,45269
Topic 4,50425
Topic 4,73589
Topic 4,105196
Topic 4,30570
Topic 4,81504
Topic 4,4700
Topic 4,45032
Topic 4,13683
Topic 4,56154
Topic 4,116119
Topic 5,144597
Topic 5,45892
Topic 5,18607
Topic 5,17265
Topic 5,45181
Topic 5,103117
Topic 5,23487
Topic 5,112046
Topic 5,41600
Topic 5,53023
Topic 5,67165
Topic 5,85698
Topic 5,30264
Topic 5,8967
Topic 5,23413
Topic 5,41920
Topic 5,77703
Topic 5,110603
Topic 5,113783
Topic 5,484
Topic 5,26213
Topic 5,8377
Topic 5,76214
Topic 5,21311
Topic 5,8394
Topic 6,33034
Topic 6,21871
Topic 6,46510
Topic 6,36008
Topic 6,126260
Topic 6,20634
Topic 6,44251
Topic 6,46816
Topic 6,63485
Topic 6,46900
Topic 6,50560
Topic 6,65313
Topic 6,41775
Topic 6,19062
Topic 6,19317
Topic 6,80898
Topic 6,70934
Topic 6,37340
Topic 6,135138
Topic 6,106404
Topic 6,136133
Topic 6,7885
Topic 6,38938
Topic 6,81065
Topic 6,23511
Topic 7,11553
Topic 7,56221
Topic 7,46184
Topic 7,246
Topic 7,63564
Topic 7,92675
Topic 7,18528
Topic 7,31545
Topic 7,21367
Topic 7,142838
Topic 7,148577
Topic 7,20252
Topic 7,125036
Topic 7,35005
Topic 7,41158
Topic 7,44935
Topic 7,119006
Topic 7,117724
Topic 7,84838
Topic 7,43124
Topic 7,50425
Topic 7,62907
Topic 7,20767
Topic 7,66622
Topic 7,93591
Topic 8,16716
Topic 8,98373
Topic 8,142372
Topic 8,1833
Topic 8,49064
Topic 8,83935
Topic 8,19785
Topic 8,37235
Topic 8,143405
Topic 8,11553
Topic 8,95795
Topic 8,44275
Topic 8,21077
Topic 8,141697
Topic 8,26441
Topic 8,56723
Topic 8,132046
Topic 8,107969
Topic 8,108255
Topic 8,42170
Topic 8,9130
Topic 8,76002
Topic 8,94956
Topic 8,90862
Topic 8,12970
Topic 9,144862
Topic 9,53003
Topic 9,141753
Topic 9,13951
Topic 9,82102
Topic 9,53582
Topic 9,82700
Topic 9,32876
Topic 9,116477
Topic 9,46524
Topic 9,26387
Topic 9,41786
Topic 9,22714
Topic 9,53684
Topic 9,144846
Topic 9,49873
Topic 9,108842
Topic 9,67950
Topic 9,97840
Topic 9,14526
Topic 9,45296
Topic 9,53937
Topic 9,62903
Topic 9,132259
Topic 9,14566
Topic 10,33036
Topic 10,38737
Topic 10,14532
Topic 10,33742
Topic 10,3624
Topic 10,6213
Topic 10,27409
Topic 10,97834
Topic 10,8513
Topic 10,17871
Topic 10,94487
Topic 10,15394
Topic 10,60941
Topic 10,27718
Topic 10,37785
Topic 10,102839
Topic 10,11722
Topic 10,52942
Topic 10,74163
Topic 10,138
Topic 10,32847
Topic 10,54307
Topic 10,38920
Topic 10,72116
Topic 10,146294
Topic 11,42466
Topic 11,52254
Topic 11,31537
Topic 11,39592
Topic 11,10504
Topic 11,13670
Topic 11,62344
Topic 11,20616
Topic 11,101986
Topic 11,87145
Topic 11,93137
Topic 11,1775
Topic 11,41568
Topic 11,53015
Topic 11,96274
Topic 11,45730
Topic 11,54058
Topic 11,47102
Topic 11,36027
Topic 11,55004
Topic 11,2343
Topic 11,16577
Topic 11,2691
Topic 11,72588
Topic 11,29321
Topic 12,16716
Topic 12,45551
Topic 12,48005
Topic 12,45454
Topic 12,87265
Topic 12,39958
Topic 12,22584
Topic 12,85665
Topic 12,30229
Topic 12,43143
Topic 12,144843
Topic 12,25460
Topic 12,65170
Topic 12,86604
Topic 12,74507
Topic 12,85190
Topic 12,10173
Topic 12,30468
Topic 12,38474
Topic 12,77413
Topic 12,5815
Topic 12,60799
Topic 12,21859
Topic 12,48602
Topic 12,83242
Topic 13,34434
Topic 13,10210
Topic 13,5970
Topic 13,33371
Topic 13,29399
Topic 13,97189
Topic 13,41940
Topic 13,27776
Topic 13,7889
Topic 13,3927
Topic 13,45480
Topic 13,101160
Topic 13,2720
Topic 13,109669
Topic 13,13909
Topic 13,10438
Topic 13,9552
Topic 13,7280
Topic 13,3505
Topic 13,58128
Topic 13,114642
Topic 13,66235
Topic 13,42321
Topic 13,3652
Topic 13,97449
Topic 14,55543
Topic 14,54938
Topic 14,29555
Topic 14,77121
Topic 14,67340
Topic 14,143717
Topic 14,39954
Topic 14,75912
Topic 14,21124
Topic 14,21266
Topic 14,59782
Topic 14,34960
Topic 14,96932
Topic 14,12075
Topic 14,47264
Topic 14,145195
Topic 14,104294
Topic 14,88456
Topic 14,36995
Topic 14,76524
Topic 14,9283
Topic 14,41141
Topic 14,50425
Topic 14,21329
Topic 14,83166
Topic 15,87863
Topic 15,85639
Topic 15,101555
Topic 15,74507
Topic 15,18611
Topic 15,107963
Topic 15,65313
Topic 15,16716
Topic 15,69090
Topic 15,73427
Topic 15,64539
Topic 15,16521
Topic 15,14406
Topic 15,10478
Topic 15,19552
Topic 15,31844
Topic 15,47061
Topic 15,92883
Topic 15,12929
Topic 15,4579
Topic 15,39475
Topic 15,65035
Topic 15,57096
Topic 15,44225
Topic 15,55670
Topic 16,13338
Topic 16,112980
Topic 16,108054
Topic 16,45276
Topic 16,21294
Topic 16,14765
Topic 16,5598
Topic 16,23519
Topic 16,17525
Topic 16,97308
Topic 16,44024
Topic 16,141819
Topic 16,118334
Topic 16,20936
Topic 16,87196
Topic 16,147944
Topic 16,85181
Topic 16,47174
Topic 16,79888
Topic 16,35258
Topic 16,65366
Topic 16,61479
Topic 16,39299
Topic 16,113876
Topic 16,131757
Topic 17,40696
Topic 17,21209
Topic 17,108054
Topic 17,45229
Topic 17,21313
Topic 17,41585
Topic 17,47601
Topic 17,76521
Topic 17,55257
Topic 17,21244
Topic 17,61625
Topic 17,16323
Topic 17,21269
Topic 17,103953
Topic 17,62645
Topic 17,110603
Topic 17,143280
Topic 17,4449
Topic 17,52142
Topic 17,22940
Topic 17,54952
Topic 17,101344
Topic 17,20894
Topic 17,60272
Topic 17,55251
Topic 18,34486
Topic 18,53879
Topic 18,79392
Topic 18,45897
Topic 18,96955
Topic 18,98089
Topic 18,36141
Topic 18,50563
Topic 18,41989
Topic 18,13701
Topic 18,130736
Topic 18,20801
Topic 18,89602
Topic 18,79884
Topic 18,5623
Topic 18,32244
Topic 18,35348
Topic 18,13377
Topic 18,105790
Topic 18,83033
Topic 18,114088
Topic 18,27249
Topic 18,23175
Topic 18,39050
Topic 18,45095
Topic 19,21001
Topic 19,21245
Topic 19,21328
Topic 19,56702
Topic 19,55542
Topic 19,14303
Topic 19,60857
Topic 19,77708
Topic 19,55802
Topic 19,56703
Topic 19,55543
Topic 19,21143
Topic 19,76827
Topic 19,109080
Topic 19,76804
Topic 19,56720
Topic 19,75712
Topic 19,55257
Topic 19,55553
Topic 19,77112
Topic 19,21070
Topic 19,141764
Topic 19,21014
Topic 19,55806
Topic 19,42522
Topic 20,87419
Topic 20,26977
Topic 20,25571
Topic 20,12406
Topic 20,63119
Topic 20,56514
Topic 20,10231
Topic 20,142573
Topic 20,67165
Topic 20,26616
Topic 20,88953
Topic 20,90591
Topic 20,4855
Topic 20,18951
Topic 20,34475
Topic 20,66633
Topic 20,96205
Topic 20,78591
Topic 20,22965
Topic 20,108648
Topic 20,33647
Topic 20,113260
Topic 20,29257
Topic 20,70196
Topic 20,41046
Topic 21,97860
Topic 21,16906
Topic 21,142340
Topic 21,99644
Topic 21,64369
Topic 21,88696
Topic 21,10001
Topic 21,126418
Topic 21,22984
Topic 21,15649
Topic 21,65564
Topic 21,41567
Topic 21,43713
Topic 21,76216
Topic 21,39027
Topic 21,93987
Topic 21,50733
Topic 21,20353
Topic 21,142604
Topic 21,62931
Topic 21,52385
Topic 21,116396
Topic 21,79362
Topic 21,142665
Topic 21,143759
Topic 22,69409
Topic 22,97495
Topic 22,10149
Topic 22,145417
Topic 22,88694
Topic 22,14359
Topic 22,60962
Topic 22,110197
Topic 22,31200
Topic 22,7219
Topic 22,88389
Topic 22,85429
Topic 22,31396
Topic 22,9083
Topic 22,9976
Topic 22,68809
Topic 22,49611
Topic 22,47223
Topic 22,26512
Topic 22,67967
Topic 22,20457
Topic 22,137568
Topic 22,27938
Topic 22,107942
Topic 22,75355
Topic 23,69409
Topic 23,21246
Topic 23,97860
Topic 23,21269
Topic 23,21085
Topic 23,21313
Topic 23,13445
Topic 23,21209
Topic 23,21309
Topic 23,94590
Topic 23,21144
Topic 23,16117
Topic 23,68187
Topic 23,13371
Topic 23,7863
Topic 23,77127
Topic 23,96352
Topic 23,79725
Topic 23,32764
Topic 23,78513
Topic 23,47223
Topic 23,41937
Topic 23,23358
Topic 23,44301
Topic 23,14315
Topic 24,55240
Topic 24,34423
Topic 24,68936
Topic 24,119899
Topic 24,56704
Topic 24,26211
Topic 24,144019
Topic 24,69795
Topic 24,97484
Topic 24,80907
Topic 24,107960
Topic 24,30074
Topic 24,21879
Topic 24,57180
Topic 24,142539
Topic 24,44027
Topic 24,94093
Topic 24,14559
Topic 24,43627
Topic 24,139839
Topic 24,48943
Topic 24,95571
Topic 24,126999
Topic 24,88486
Topic 24,35588
Topic 25,56091
Topic 25,141739
Topic 25,59791
Topic 25,21373
Topic 25,38785
Topic 25,48390
Topic 25,50268
Topic 25,60488
Topic 25,12922
Topic 25,21196
Topic 25,32730
Topic 25,69402
Topic 25,55542
Topic 25,98383
Topic 25,64834
Topic 25,97555
Topic 25,133791
Topic 25,9420
Topic 25,14520
Topic 25,68550
Topic 25,42522
Topic 25,70746
Topic 25,104642
Topic 25,75795
Topic 25,93815
Topic 26,110894
Topic 26,44027
Topic 26,76224
Topic 26,75693
Topic 26,21268
Topic 26,75221
Topic 26,41919
Topic 26,21317
Topic 26,109996
Topic 26,55810
Topic 26,76012
Topic 26,55535
Topic 26,42532
Topic 26,28951
Topic 26,55812
Topic 26,142118
Topic 26,75393
Topic 26,116396
Topic 26,77120
Topic 26,41337
Topic 26,75990
Topic 26,21082
Topic 26,21379
Topic 26,77714
Topic 26,21376
Topic 27,11253
Topic 27,104663
Topic 27,13763
Topic 27,37587
Topic 27,78988
Topic 27,29690
Topic 27,107942
Topic 27,40422
Topic 27,18270
Topic 27,72056
Topic 27,40180
Topic 27,10648
Topic 27,101272
Topic 27,8411
Topic 27,84896
Topic 27,63520
Topic 27,144362
Topic 27,147415
Topic 27,96638
Topic 27,75907
Topic 27,53439
Topic 27,20034
Topic 27,58712
Topic 27,46089
Topic 27,28930
Topic 28,112484
Topic 28,40765
Topic 28,44613
Topic 28,42782
Topic 28,111066
Topic 28,87124
Topic 28,136716
Topic 28,63784
Topic 28,143426
Topic 28,66145
Topic 28,14565
Topic 28,111
Topic 28,28285
Topic 28,142877
Topic 28,1996
Topic 28,112499
Topic 28,149275
Topic 28,149197
Topic 28,117549
Topic 28,21063
Topic 28,143280
Topic 28,74918
Topic 28,9995
Topic 28,80685
Topic 28,16738
Topic 29,80589
Topic 29,18607
Topic 29,118693
Topic 29,51972
Topic 29,41566
Topic 29,8467
Topic 29,77392
Topic 29,44401
Topic 29,19291
Topic 29,41568
Topic 29,134825
Topic 29,21539
Topic 29,10212
Topic 29,9411
Topic 29,43361
Topic 29,79049
Topic 29,55654
Topic 29,34398
Topic 29,26498
Topic 29,47486
Topic 29,108050
Topic 29,108665
Topic 29,39182
Topic 29,23594
Topic 29,92699
Topic 30,42839
Topic 30,21310
Topic 30,61579
Topic 30,21082
Topic 30,65578
Topic 30,56722
Topic 30,52673
Topic 30,77935
Topic 30,76002
Topic 30,56395
Topic 30,21065
Topic 30,76003
Topic 30,142135
Topic 30,14301
Topic 30,19968
Topic 30,34991
Topic 30,108501
Topic 30,8185
Topic 30,7544
Topic 30,140793
Topic 30,75629
Topic 30,56723
Topic 30,61087
Topic 30,17037
Topic 30,76810
Topic 31,25821
Topic 31,48301
Topic 31,64176
Topic 31,131339
Topic 31,65578
Topic 31,1378
Topic 31,60245
Topic 31,112726
Topic 31,142426
Topic 31,141111
Topic 31,64089
Topic 31,86308
Topic 31,102187
Topic 31,67688
Topic 31,41398
Topic 31,24949
Topic 31,133791
Topic 31,140475
Topic 31,2562
Topic 31,18253
Topic 31,14911
Topic 31,67252
Topic 31,116266
Topic 31,18713
Topic 31,67021
Topic 32,78513
Topic 32,77930
Topic 32,66936
Topic 32,94484
Topic 32,142128
Topic 32,28444
Topic 32,108855
Topic 32,94250
Topic 32,64937
Topic 32,142652
Topic 32,98343
Topic 32,43684
Topic 32,106444
Topic 32,82562
Topic 32,106151
Topic 32,42825
Topic 32,45228
Topic 32,32202
Topic 32,47099
Topic 32,34938
Topic 32,20160
Topic 32,131113
Topic 32,20799
Topic 32,23996
Topic 32,41740
Topic 33,59906
Topic 33,98094
Topic 33,116214
Topic 33,108030
Topic 33,33383
Topic 33,82965
Topic 33,43322
Topic 33,87277
Topic 33,68658
Topic 33,5454
Topic 33,79395
Topic 33,60234
Topic 33,96022
Topic 33,67344
Topic 33,10144
Topic 33,70469
Topic 33,26211
Topic 33,106585
Topic 33,34423
Topic 33,46105
Topic 33,72949
Topic 33,24111
Topic 33,51345
Topic 33,7412
Topic 33,82680
Topic 34,21135
Topic 34,42825
Topic 34,108856
Topic 34,20962
Topic 34,56393
Topic 34,67199
Topic 34,28267
Topic 34,114899
Topic 34,4940
Topic 34,21246
Topic 34,21242
Topic 34,35342
Topic 34,141008
Topic 34,70442
Topic 34,15304
Topic 34,113362
Topic 34,25956
Topic 34,44611
Topic 34,20092
Topic 34,97585
Topic 34,6581
Topic 34,15722
Topic 34,70746
Topic 34,14551
Topic 34,55540
Topic 35,141753
Topic 35,73270
Topic 35,46803
Topic 35,143117
Topic 35,114167
Topic 35,16996
Topic 35,50160
Topic 35,75629
Topic 35,4587
Topic 35,33160
Topic 35,31108
Topic 35,34824
Topic 35,103983
Topic 35,12323
Topic 35,60386
Topic 35,101694
Topic 35,50909
Topic 35,23662
Topic 35,55209
Topic 35,141835
Topic 35,52732
Topic 35,74803
Topic 35,121578
Topic 35,68292
Topic 35,75609
Topic 36,29690
Topic 36,63520
Topic 36,40545
Topic 36,23849
Topic 36,47118
Topic 36,17084
Topic 36,66110
Topic 36,144589
Topic 36,51171
Topic 36,126269
Topic 36,92913
Topic 36,45849
Topic 36,116463
Topic 36,20866
Topic 36,18768
Topic 36,34620
Topic 36,45253
Topic 36,59225
Topic 36,90133
Topic 36,46593
Topic 36,49286
Topic 36,76316
Topic 36,92911
Topic 36,108452
Topic 36,77794
Topic 37,40626
Topic 37,72317
Topic 37,39746
Topic 37,50439
Topic 37,149635
Topic 37,40964
Topic 37,145423
Topic 37,110589
Topic 37,149210
Topic 37,41156
Topic 37,58492
Topic 37,37092
Topic 37,15726
Topic 37,95021
Topic 37,132307
Topic 37,43581
Topic 37,64492
Topic 37,132786
Topic 37,42783
Topic 37,116657
Topic 37,14434
Topic 37,47269
Topic 37,144213
Topic 37,142113
Topic 37,144242
Topic 38,5124
Topic 38,12570
Topic 38,63475
Topic 38,35196
Topic 38,65714
Topic 38,8775
Topic 38,134277
Topic 38,115854
Topic 38,32852
Topic 38,149635
Topic 38,12145
Topic 38,36032
Topic 38,61317
Topic 38,72317
Topic 38,75958
Topic 38,116258
Topic 38,7460
Topic 38,148114
Topic 38,79296
Topic 38,9982
Topic 38,17880
Topic 38,55458
Topic 38,95105
Topic 38,54384
Topic 38,28215
Topic 39,10830
Topic 39,111407
Topic 39,29286
Topic 39,80592
Topic 39,78283
Topic 39,80559
Topic 39,43350
Topic 39,35383
Topic 39,72896
Topic 39,4629
Topic 39,78967
Topic 39,64958
Topic 39,5201
Topic 39,10752
Topic 39,25019
Topic 39,55118
Topic 39,116175
Topic 39,23099
Topic 39,7113
Topic 39,59768
Topic 39,5710
Topic 39,59790
Topic 39,89392
Topic 39,111702
Topic 39,18098
Topic 40,53978
Topic 40,52544
Topic 40,21713
Topic 40,48697
Topic 40,144374
Topic 40,47681
Topic 40,75346
Topic 40,147574
Topic 40,95214
Topic 40,42582
Topic 40,56706
Topic 40,9346
Topic 40,2429
Topic 40,22638
Topic 40,146025
Topic 40,45813
Topic 40,145724
Topic 40,18830
Topic 40,12570
Topic 40,22645
Topic 40,56877
Topic 40,45408
Topic 40,88797
Topic 40,14630
Topic 40,9765
Topic 41,54313
Topic 41,45849
Topic 41,41275
Topic 41,11108
Topic 41,75609
Topic 41,83932
Topic 41,145761
Topic 41,138434
Topic 41,51086
Topic 41,80789
Topic 41,3115
Topic 41,47027
Topic 41,34047
Topic 41,20156
Topic 41,125617
Topic 41,26518
Topic 41,115111
Topic 41,95143
Topic 41,77417
Topic 41,31144
Topic 41,15904
Topic 41,148674
Topic 41,31162
Topic 41,33244
Topic 41,5667
Topic 42,29697
Topic 42,61636
Topic 42,72317
Topic 42,43902
Topic 42,19291
Topic 42,119299
Topic 42,36309
Topic 42,36032
Topic 42,19949
Topic 42,108650
Topic 42,44608
Topic 42,7460
Topic 42,70905
Topic 42,34125
Topic 42,76524
Topic 42,51045
Topic 42,100788
Topic 42,52432
Topic 42,63472
Topic 42,106002
Topic 42,59494
Topic 42,109540
Topic 42,50413
Topic 42,63475
Topic 42,67601
Topic 43,113002
Topic 43,3618
Topic 43,25643
Topic 43,75958
Topic 43,12574
Topic 43,32698
Topic 43,17209
Topic 43,74211
Topic 43,140168
Topic 43,16081
Topic 43,143154
Topic 43,58597
Topic 43,23476
Topic 43,144663
Topic 43,81671
Topic 43,16297
Topic 43,39766
Topic 43,17801
Topic 43,64014
Topic 43,148946
Topic 43,58492
Topic 43,113868
Topic 43,5265
Topic 43,144842
Topic 43,94784
Topic 44,102254
Topic 44,113864
Topic 44,14327
Topic 44,91163
Topic 44,101167
Topic 44,107165
Topic 44,133774
Topic 44,144842
Topic 44,38855
Topic 44,64207
Topic 44,17666
Topic 44,51978
Topic 44,125039
Topic 44,144267
Topic 44,42207
Topic 44,61993
Topic 44,114382
Topic 44,25681
Topic 44,45274
Topic 44,40360
Topic 44,60657
Topic 44,79375
Topic 44,146776
Topic 44,142059
Topic 44,91636
Topic 45,89392
Topic 45,82700
Topic 45,114387
Topic 45,61314
Topic 45,49242
Topic 45,145496
Topic 45,42781
Topic 45,93804
Topic 45,20807
Topic 45,60707
Topic 45,24080
Topic 45,98430
Topic 45,17258
Topic 45,76240
Topic 45,9311
Topic 45,143411
Topic 45,78365
Topic 45,92590
Topic 45,78053
Topic 45,27689
Topic 45,93494
Topic 45,116477
Topic 45,110753
Topic 45,126999
Topic 45,61394
Topic 46,142331
Topic 46,86604
Topic 46,94190
Topic 46,6730
Topic 46,7506
Topic 46,139129
Topic 46,27445
Topic 46,24114
Topic 46,45831
Topic 46,29674
Topic 46,64976
Topic 46,142350
Topic 46,131413
Topic 46,85992
Topic 46,24995
Topic 46,2572
Topic 46,106563
Topic 46,61444
Topic 46,5531
Topic 46,138188
Topic 46,25709
Topic 46,5647
Topic 46,86904
Topic 46,76173
Topic 46,48482
Topic 47,147081
Topic 47,98733
Topic 47,106588
Topic 47,142340
Topic 47,140
Topic 47,35762
Topic 47,1761
Topic 47,53242
Topic 47,111462
Topic 47,98949
Topic 47,87455
Topic 47,26338
Topic 47,82147
Topic 47,18642
Topic 47,95578
Topic 47,119615
Topic 47,139839
Topic 47,2708
Topic 47,21752
Topic 47,70564
Topic 47,142045
Topic 47,39989
Topic 47,10961
Topic 47,52937
Topic 47,11349
Topic 48,81497
Topic 48,109147
Topic 48,38736
Topic 48,29648
Topic 48,53457
Topic 48,113683
Topic 48,11349
Topic 48,88088
Topic 48,30227
Topic 48,113687
Topic 48,47233
Topic 48,69398
Topic 48,2274
Topic 48,113864
Topic 48,15139
Topic 48,7556
Topic 48,45274
Topic 48,90141
Topic 48,139839
Topic 48,25038
Topic 48,142551
Topic 48,144843
Topic 48,30736
Topic 48,20218
Topic 48,79703
Topic 49,78707
Topic 49,48751
Topic 49,52601
Topic 49,28008
Topic 49,93422
Topic 49,67995
Topic 49,61444
Topic 49,64227
Topic 49,48187
Topic 49,4986
Topic 49,38938
Topic 49,4393
Topic 49,75854
Topic 49,17879
Topic 49,34470
Topic 49,37885
Topic 49,45250
Topic 49,112360
Topic 49,59773
Topic 49,5237
Topic 49,4146
Topic 49,23474
Topic 49,57404
Topic 49,138602
Topic 49,105248
Topic 50,79703
Topic 50,113912
Topic 50,38881
Topic 50,144842
Topic 50,37203
Topic 50,109147
Topic 50,40771
Topic 50,17808
Topic 50,97310
Topic 50,6969
Topic 50,33402
Topic 50,73883
Topic 50,78422
Topic 50,87258
Topic 50,59913
Topic 50,58314
Topic 50,73430
Topic 50,62001
Topic 50,131968
Topic 50,43924
Topic 50,45847
Topic 50,58308
Topic 50,17666
Topic 50,51792
Topic 50,68765
Topic 51,132545
Topic 51,29648
Topic 51,82102
Topic 51,121151
Topic 51,55315
Topic 51,40730
Topic 51,61043
Topic 51,96117
Topic 51,32597
Topic 51,106273
Topic 51,57391
Topic 51,113733
Topic 51,21539
Topic 51,68314
Topic 51,113776
Topic 51,75638
Topic 51,5472
Topic 51,39746
Topic 51,139626
Topic 51,64496
Topic 51,149263
Topic 51,40998
Topic 51,143466
Topic 51,14276
Topic 51,13807
Topic 52,13384
Topic 52,133791
Topic 52,87638
Topic 52,16535
Topic 52,67340
Topic 52,72639
Topic 52,110494
Topic 52,141753
Topic 52,5105
Topic 52,85866
Topic 52,34493
Topic 52,60099
Topic 52,146305
